key,value
"'PER AUTISTA: ","'CHIAMA IL CLIENTE ALMENO MEZZORA PRIMA DEL TUO ARRIVO "
"'PRODUTTORE ","'ALSTOM FERROVIA SPA "
"'CLIENTE ","'SISEA SRL "
"'Unit. Loc. ","'FIRENZE - Via del Romito 7 50134 FIRENZE (FI) "
"'Operatore ","'Guergana Stoyanova - Mob. 346 8704488 "
"'Referente ","'DONATO "
"'CF Produttore ","'07984290010 "
"'Telefono ","'3497278444 "
"'MANODOPERA ","'"
"'Email Cliente ","'valentina.ribaudi@siseasrl.com "
"'Data Richiesta ","'17/02/2022 "
"'Orario richiesta ","'10:00 "
"'ORA PARTENZA DA EUROCORPORATION: ","'"
"'Email Produttore ","'valentina.ribaudi@siseasrl.com "
"'ORA RIENTRO IN EUROCORPORATION: ","'"
"'UTILIZZO RAGNO ","'"
"'Dalle ","'08:00 "
"'Alle ","'12:00 "
"'ORA DI INIZIO: ","'"
"'PER LA LOGISTICA: ","'SCHEDA FATTA DA MATILDE. CHIAMARE IL GIORNO PRIMA PER CONFERMA DATA ED ORARIO, INV....@. CONSEGNARE 4 CASSE CON DDT DI NOLEGGIO + 2 BIG BAG ONU CON DDT DI VENDITA MEZZO IN OFFERTA: FURGONI E MOTRICI tps://www.google.com/maps/place/Via+del+Parlamento+Europ  e0,+7,+50018+Scandicci+Fl/@43.7639263,11.1553886,17z/data=! 3m1!4b1!4m5!3m4! 1s0x132a5a0969e57383:0x247c2beaf642f4e5!8m2! 3d43.7639263!4d11.157577 "
"'ORA DI FINE: ","'"
"'ATTESA AL CARICO ","'"
"'Dalle ","'14:00 "
"'Alle ","'17:00 "
"'ORA ARRIVO: ","'"
"'ORA PARTENZA: ","'"
"'VEICOLO RICHIESTO ","'"
"'ORA ARRIVO: ","'"
"'ORA PARTENZA: ","'"
"'SI ","'NOT_SELECTED"
"'NO ","'NOT_SELECTED"
"'FIRMA PER PRESA VISIONE ","'"
"'CER ","'150110.1 "
"'ADR ","'NOT_SELECTED"
"'Classe Pericolo: ","'"
"'Destino: ","'R13 "
"'Confezionamento: ","'2 BB "
"'Destinazione: ","'"
"'Classe Pericolo: ","'"
"'Destino: ","'"
"'Confezionamento: ","'"
"'Destinazione: ","'"
"'Liquido ","'SELECTED"
"'Classe Pericolo: ","'HP14 "
"'Destino: ","'R13 "
"'Confezionamento: ","'2 CISTERNETTE DA 1000LT "
"'Destinazione: ","'PRODURRE PULITO- RIF. RDP 155445 DEL 12/07/21 "
