key,value
"'CER ","'160211 "
"'ADR ","'NOT_SELECTED"
"'PRODUTTORE ","'2G2 SRL "
"'CLIENTE ","'2G2 SRL "
"'Unit. Loc. ","'VIA VOLTA 29 50041 CALENZANO (FI) "
"'Operatore ","'Tommaso Orlandini - Mob. 393 8849987 "
"'Classe Pericolo: ","'HP5 "
"'Destino: ","'R13 "
"'Confezionamento: ","'NR 2 FRIGO "
"'Referente ","'BEATRICE - "
"'CF Produttore ","'05205580482 "
"'Destinazione: ","'EUROCORPORATION "
"'Telefono ","'0558826364 "
"'Email Cliente ","'2g2sril@2g2srl.it "
"'Data Richiesta ","'20/01/2022 "
"'Orario richiesta ","'15:00 "
"'Email Produttore ","'2g2srl@2g2srl.it "
"'Solido non pulverulento ","'NOT_SELECTED"
"'Classe Pericolo: ","'"
"'Destino: ","'R13 "
"'ZTL ","'NOT_SELECTED"
"'Confezionamento: ","'NR 1 CASSA DA RIEMPIRE AL MOMENTO DEL RITIRO "
"'Dalle ","'08:00 "
"'Alle ","'12:00 "
"'PER LA LOGISTICA: ","'SCHEDA FATTA DA NATALIA. CHIAMARE PER COMUNICARE GIORNO E ORARIO. MEZZO IN OFFERTA: SPONDA 10 PP. AUTISTA CHE AIUTA IL CLIENTE AL CARICO SEGNARE ATTESA. PORTARE TRANSPALLET + ETICHETTE + NR 2 CASSE PER TRASPORTO. CONSEGNA NR 1 BB ONU + NR 2 FUSTI ONU 30LT CON DDT DI VENDITA. "
"'Destinazione: ","'EUROCORPORATION "
"'Dalle ","'13:00 "
"'Alle ","'07:00 "
"'Solido non pulverulento ","'NOT_SELECTED"
"'Classe Pericolo: ","'HP5 "
"'Destino: ","'R13 "
"'Confezionamento: ","'NR 1 CASSA DA RIEMPIRE AL MOMENTO DEL RITIRO "
"'Destinazione: ","'EUROCORPORATION "
"'IMPORTANTE LEGGERE PRIMA DI PARTIRE: ","'AUTISTA CHE AIUTA IL CLIENTE AL CARICO SEGNARE ATTESA. PORTARE TRANSPALLET + ETICHETTE + NR 2 CASSE PER TRASPORTO. CONSEGNA NR 1 BB ONU + NR 2 FUSTI ONU 30LT CON DDT DI VENDITA. "
"'CER ","'150202 "
"'ADR ","'NOT_SELECTED"
"'N. PERSONE ","'"
"'Classe Pericolo: ","'HP4-HP5 "
"'Destino: ","'R13 "
"'Confezionamento: ","'NR 1 BB ONU DA CONFEZIONARE AL MOMENTO DEL RITIRO "
"'ORA DI FINE: ","'"
"'Destinazione: ","'EUROCORPORATION "
"'ORA PARTENZA DA EUROCORPORATION: ","'"
"'ORA RIENTRO IN EUROCORPORATION: ","'"
"'Solido non pulverulento ","'NOT_SELECTED"
"'UTILIZZO RAGNO ","'"
"'Classe Pericolo: ","'"
"'Destino: ","'R13 "
"'ATTESA AL CARICO ","'"
"'ORA ARRIVO: ","'ORA PARTENZA: "
"'Confezionamento: ","'NR 5 PALLET "
"'Destinazione: ","'EUROCORPORATION "
"'ORA ARRIVO: ","'"
"'ORA PARTENZA: ","'"
"'ZTL ","'"
"'SI ","'NOT_SELECTED"
"'NO ","'NOT_SELECTED"
"'Solido non pulverulento ","'NOT_SELECTED"
"'Classe Pericolo: ","'"
"'Destino: ","'R13 "
"'FIRMA PER PRESA VISIONE ","'"
"'Confezionamento: ","'NR 1 SCATOLA "
"'Destinazione: ","'EUROCORPORATION "
"'Solido non pulverulento ","'NOT_SELECTED"
"'Classe Pericolo: ","'"
"'Destino: ","'R13 "
"'Confezionamento: ","'NR 16 SACCHI GRANDI "
"'Destinazione: ","'EUROCORPORATION "
