key,value
"'PRODUTTORE ","'ALSTOM FERROVIA SPA "
"'CLIENTE ","'SISEA SRL "
"'Destinazione: ","'ECOVIP "
"'Unit. Loc. ","'FIRENZE - Via del Romito 7 50134 FIRENZE (FI) "
"'Operatore ","'Guergana Stoyanova - Mob. 346 8704488 "
"'Solido non pulverulento ","'SELECTED"
"'Classe Pericolo: ","'HP 4-5-14 "
"'Referente ","'Luca Spadi "
"'Destino: ","'R13 "
"'CF Produttore ","'07984290010 "
"'Confezionamento: ","'1 BIG BAG "
"'Telefono ","'3423261346 "
"'Email Cliente ","'valentina.ribaudi@siseasrl.com "
"'Destinazione: ","'ECOVIP - ADR UN3548 OGGETTI CONTENENTI MERCI PERICOLOSE DIVERSE, N.A.S. (materiale ferroso contenente sostanze pericolose) - 9 - E "
"'Data Richiesta ","'20/01/2022 "
"'Orario richiesta ","'09:00 "
"'Email Produttore ","'valentina.ribaudi@siseasrl.com "
"'Solido non pulverulento ","'NOT_SELECTED"
"'Dalle ","'09:00 "
"'Alle ","'"
"'PER LA LOGISTICA: ","'INTERMEDIARIO SISEA PRIMA DEL RITIRO MANDARE UNA SCANSIONE DEI FIR A Valentina Ribaudi (valentina.ribaudi@siseasrl.com) A SCELTA TRA IL 24/25/26 GENNAIO 09-16 HANNO IL MULETTO PER IL CARICO "
"'Classe Pericolo: ","'"
"'Destino: ","'R13 "
"'Confezionamento: ","'1 FUSTO CON DENTRO ESTINTORI A POLVERE "
"'Dalle ","'"
"'Alle ","'16:00 "
"'Destinazione: ","'ECOVIP "
"'IMPORTANTE LEGGERE PRIMA DI PARTIRE: ","'PER AUTISTA: ENTRA DA VIA SCIPIO SIGHELE 1 - PER ARRIVARCI DEVI ASSARE DA VIA CIRCONDARIA E DOPO IL PONTE GIRARE SUBITO A DESTRA (CE' GRANDE CURVA) PER AUTISTA: FAI FIRMARE I FORMULARI SOLO DA LUCA SPADI/DONATO/DOMENICO "
"'MEZZI IN OFFERTA: ","'TUTTE LE MOTRICI E FURGONI "
"'CER ","'130206 "
"'ADR ","'SELECTED"
"'ORA DI INIZIO: ","'"
"'N. PERSONE ","'"
"'ORA PARTENZA DA EUROCORPORATION: ","'"
"'Classe Pericolo: ","'HP4-5-14 "
"'Destino: ","'"
"'ORA RIENTRO IN EUROCORPORATION: ","'"
"'Confezionamento: ","'5 FUSTI su 2 PALLET "
"'ORA DI INIZIO: ","'"
"'ORA DI FINE: ","'"
"'Destinazione: ","'ECOVIP - ADR UN3082 MATERIA PERICOLOSA DAL PUNTO DI VISTA DELL'AMBIENTE, LIQUIDA N.A.S. (acque di lavaggio contenenti olio) - 9 - III (-) Limite esenzione 1.1.3.6: 1000 L "
"'ATTESA AL CARICO ","'"
"'ORA ARRIVO: ","'"
"'ORA PARTENZA: ","'"
"'ORA ARRIVO: ","'"
"'ORA PARTENZA: ","'"
"'Solido non pulverulento ","'NOT_SELECTED"
"'Classe Pericolo: ","'"
"'ZTL ","'"
"'SI ","'NOT_SELECTED"
"'Destino: ","'R13 "
"'NO ","'NOT_SELECTED"
"'Confezionamento: ","'1 BIG BAG DI FILTRI ARA NELLE ANNOTAZIONI SCRIVERE ""FILTRI ARIA" "
"'Destinazione: ","'ECOVIP ""FILTRI ARIA" "
"'FIRMA PER PRESA VISIONE ","'"
"'Solido non pulverulento ","'SELECTED"
"'Classe Pericolo: ","'HP4 HP5 HP14 "
"'Destino: ","'R13 "
"'Confezionamento: ","'1 FUSTO "
"'Destinazione: ","'ECOVIP - UN3548 OGGETTI CONTENENTI MERCI PERICOLOSE DIVERSE, N.A.S. (filtri contenenti olio) - 9 - ELimite esenzione 1.1.3.6: illimitato "
"'Solido non pulverulento ","'NOT_SELECTED"
"'Classe Pericolo: ","'"
"'Destino: ","'R13 "
"'Confezionamento: ","'1 BIG BAG "
