"'","'","'Tipologia ","'rifiuto ","'","'","'",
"'CER ","'","'DESCRIZIONE ","'","'","'SF ","'ADR ",
"'Destinazione: ","'","'ECOVIP ","'","'","'","'",
"'160121 ","'","'Componenti pericolosi ","'diversi ","'","'Solido non pulverulento ","'",
"'Classe Pericolo: ","'","'HP 4-5-14 ","'Destino: ","'R13 ","'","'",
"'Confezionamento: ","'","'1 BIG BAG ","'","'","'","'",
"'Destinazione: ","'","'ECOVIP - ADR UN3548 OGGETTI CONTENENTI sostanze pericolose) - 9 - E ","'MERCI ","'PERICOLOSE DIVERSE, N.A.S. ","'(materiale ferroso contenente ","'",
"'160505 ","'","'Estintori a polvere, schiuma ","'e CO2 ","'","'Solido non pulverulento ","'",
"'Classe Pericolo: ","'","'","'Destino: ","'R13 ","'","'",
"'Confezionamento: ","'","'1 FUSTO CON DENTRO ESTINTORI A POLVERE ","'","'","'","'",
"'Destinazione: ","'","'ECOVIP ","'","'","'","'",
