key,value
"'PRODUTTORE ","'ALSTOM FERROVIA SPA "
"'CLIENTE ","'SISEA SRL "
"'Unit. Loc. ","'FIRENZE - Via del Romito 7 50134 FIRENZE (FI) "
"'Operatore ","'Guergana Stoyanova - Mob. 346 8704488 "
"'Referente ","'Luca Spadi "
"'CF Produttore ","'07984290010 "
"'Telefono ","'3423261346 "
"'MANODOPERA ","'"
"'Email Cliente ","'valentina.ribaudi@siseasrl.com "
"'Data Richiesta ","'20/01/2022 "
"'Orario richiesta ","'09:00 "
"'Email Produttore ","'valentina.ribaudi@siseasrl.com "
"'ORA PARTENZA DA EUROCORPORATION: ","'"
"'ZTL ","'NOT_SELECTED"
"'ORA RIENTRO IN EUROCORPORATION: ","'"
"'Dalle ","'09:00 "
"'Alle ","'"
"'PER LA LOGISTICA: ","'INTERMEDIARIO SISEA PRIMA DEL RITIRO MANDARE UNA SCANSIONE DEI FIR A Valentina Ribaudi (valentina.ribaudi@siseasrl.com) A SCELTA TRA IL 24/25/26 GENNAIO 09-16 HANNO IL MULETTO PER IL CARICO "
"'ORA DI INIZIO: ","'"
"'ORA DI FINE: ","'"
"'Dalle ","'"
"'Alle ","'16:00 "
"'ORA ARRIVO: ","'"
"'ORA PARTENZA: ","'"
"'ORA ARRIVO: ","'ORA PARTENZA: "
"'SI ","'NOT_SELECTED"
"'NO ","'NOT_SELECTED"
"'FIRMA PER PRESA VISIONE ","'"
"'CER ","'161002 "
"'ADR ","'NOT_SELECTED"
"'Classe Pericolo: ","'"
"'Destino: ","'"
"'Confezionamento: ","'12 FUSTI CHIUSI FASCIATI su 3 04 PALLET "
"'Destinazione: ","'PRODURRE PULITO "
