key,value
"'PER AUTISTA: ","'ALL'ARRIVO CHIAMA I REFERENTI: "
"'Marco Ottobelli ","'3398158402 "
"'CLIENTE ","'AFE IMPEX SRL "
"'Unit. Loc. ","'PISTOIA - c/o AGRIBIOS SOC COOP AGRIC. in Via Buraccia e Pacinotta13// 51100 CHIESINA MONTALESE (PT) "
"'Operatore ","'Guergana Stoyanova - Mob. 346 8704488 "
"'Referente ","'Paolo Fedi "
"'CF Produttore ","'02212820464 "
"'Telefono ","'353/3911804 - 0571/3187400 "
"'MANODOPERA ","'"
"'Email Cliente ","'afeimpex@gmail.com "
"'Data Richiesta ","'30/03/2022 "
"'Orario richiesta ","'00:00 "
"'ORA PARTENZA DA EUROCORPORATION: ","'"
"'Email Produttore ","'afeimpex@gmail.com "
"'ORA RIENTRO IN EUROCORPORATION: ","'"
"'ZTL ","'NOT_SELECTED"
"'UTILIZZO RAGNO ","'"
"'Alle ","'"
"'ORA DI INIZIO: ","'"
"'ORA DI FINE: ","'"
"'ATTESA AL CARICO ","'"
"'Alle ","'"
"'ORA ARRIVO: ","'"
"'ORA PARTENZA: ","'"
"'ORA ARRIVO: ","'"
"'SI ","'NOT_SELECTED"
"'NO ","'NOT_SELECTED"
"'FIRMA PER PRESA VISIONE ","'"
"'SF ","'Solido non pulverulento "
"'ADR ","'NOT_SELECTED"
"'MERCE ","'Merce non rifiuto ddt "
"'Classe Pericolo: ","'"
"'Destino: ","'"
"'Confezionamento: ","'SCARICO/CAMBIO DEI 2 CASSONI PIENI "
"'Destinazione: ","'RAFFINERIA ENI Via E. Mattei, 46 - 27039 SANNAZZARO DE' BURGONDI (PV) "
